userName,score,at,content
Stanley Effendi,5,11/8/2022 16:01,"sangat membantu, pesan hotel, tiket, dll sangat mudah. di tambah ada paylater ... benar benar sangat membantu sekali"
TM MAXXY,4,11/8/2022 15:36,Your CG us to come from
Arta Sendow,5,11/8/2022 15:35,boleh mantap
Zaky Rasyidi,1,11/8/2022 15:32,"Habis update kok limitnya malah turun. Aneh kalian, padahal gak telat bayar."
Fery Safrizal,5,11/8/2022 15:13,ok
Lhokseumawe 11,4,11/8/2022 15:13,oke
Anis Khoirunisa,5,11/8/2022 14:27,ok
Iwan Setiawan,1,11/8/2022 14:04,hrg tiba² berubah saat pembayaran
Bambang Daradjat,1,11/8/2022 14:01,Terlalu banyak Iklan sekarang!!! LEMOOT!!! Karena minta update Terus.. Maaf Anda TURUN BINTANG!!
Hera Yati,4,11/8/2022 13:24,best
Sitimaryam Dglanusu,5,11/8/2022 13:23,Terimakasih
Dodi Saputra,5,11/8/2022 13:05,iyolah
Mawardi Nando,5,11/8/2022 12:51,cepat mudah hemat dan murah
Enthis Setiawan,4,11/8/2022 12:26,Ssh transaksi nya gan Semoga jadwal nya tdk berubah² & harga nya mulai stabil
Edi Yusmirli,5,11/8/2022 12:24,ok banget
Fajar Sri,5,11/8/2022 12:23,Trimakasih traveloka. Sangat membantu saya dalam perjalanan luar kota jadi lebih gampang dan cepat. Untuk pesan tiket
Sutris Teba,5,11/8/2022 11:54,untuk pemesanan tiket KAI lebaran koneksi diperbaiki agar tidak mengecewakan pelanggan.thanks
Irvan Syai86,5,11/8/2022 11:24,sangat bagus pelayanan traveloka
Rudy Kurniawan,5,11/8/2022 11:22,menyenangkan
Safrudin Piliang,3,11/8/2022 11:01,oke
Izul Adhari,4,11/8/2022 10:39,baik
arjuna putra fervilio,1,11/8/2022 10:03,Dasar Traveloka jelek
Spbu Seppong,5,11/8/2022 9:27,Sangat Menguntungkan
Rifqy RIZQULLAH R,1,11/8/2022 9:26,Aplikasi ga jelas yg acc refund apa yg dtng dana nya apa
Erwin Tanjung,5,11/8/2022 8:57,Mantap
Bagus Fachruddin,5,11/8/2022 8:51,Goodlah
Cilupba Urraa,5,11/8/2022 8:23,Traveloka sangat memuaskan
fajar Sodik,5,11/8/2022 8:01,Semoga berkah
Muhamad Topik,5,11/8/2022 7:59,madep
Agus Saputra,5,11/8/2022 7:58,cepat dan tepat
TONNY NANGKA,5,11/8/2022 7:56,"Mudah digunakan, banyak tawaran diskonnya."
Khairul Basri,5,11/8/2022 6:25,mudah
Thomas Aidzil Pratama,1,11/8/2022 6:02,"Pait cuuuy. Berbulan bulan buka tutup apk ini cuma buat ngecek apakah ada promo diskon utk bayar PLN, PDAM, BPJS, INTERNET, PBB, dll. NYATA-NYA KAGA ADA ! kalopun ada juga promonya tibang buat pengguna kartu kredit. Heelloooow, tidak semua user itu pake kredit card ya beib. Setidaknya kasih promo kek buat user yg bayar tagihannya pakai saldo uangku / transfer bank biasa. Alhasil sy slalu bayar tagihan bulanan di sopi / toped aja yg rutin kasi promo meski promonya gak gede2 amat seeeh~ Bye deh~!"
Warso Cipin,5,11/8/2022 5:49,"sangat2 membantu.. penileyan, bintang yg berbicara."
Listiyanto Anto,5,11/8/2022 5:41,Baik
Hermanu Sulistya,5,11/8/2022 5:38,traveloka is the best
Istiara Putri,1,11/8/2022 5:06,biasa di pertengahan bulan kaya gini. pesen makan di tv. tapi menu eats nya malah di ilangin.. saya orng kerja mager kalo keluar. libur pun 1 minggu skli. mau jalan2 gmna? pake apk ini buat permudah biar gk kluar bli mkn. tapi menu EATS nya di ilangin..
Uchi Andriani,1,11/8/2022 4:54,Awalnya bagu traveloka makin ksini makin parah pelayanannya juga...mana point nya makin berat d kumpulin tlp cs nya ga ramah
Anggun Griyana,5,11/8/2022 4:51,pelayanan crpat
Dr wifiek Goenawan,5,11/8/2022 4:20,Hooooo
melia wati,1,11/8/2022 4:11,"Traveloka sekarang mengecewakan, pas masuk jam promo kita mw pake voucher auto sistem gangguan... Jangan bikin promo kalo ga bs d pake... Ga akan ku rekomendasi kan ke orng lagi deh ini aplikasi... Asli sih ga guna banget ada promo voucher"
Meilani 2022,5,11/8/2022 3:26,terimakasih
Zita Nur Azizah,5,11/8/2022 3:19,"If you want quick gateaway, just open Traveloka🙏."
daru darmawan,5,11/8/2022 3:09,Asik
muhammad amir,1,11/8/2022 3:00,"Tolong untuk pihak traveloka, khususnya yg menangani paylater, utk ketentuan batasan usia tolong di tinjau kembali, karena banyak pengguna yg umurnya masih di bawah 21 tahun tapi mereka sanggup membayar cicilan, tolong perhatiannya"
anto Panja,5,11/8/2022 2:17,Ok
Elmilia Taruma,5,11/8/2022 1:58,So many payment method provided by Traveloka. Make it transaction easier. 👍🏻
slamet iswanto,5,11/8/2022 1:46,oke 👍
20 REINHARD REIN WIJAYA,5,11/8/2022 1:31,makyusss
laon parulian tanjung,5,11/8/2022 1:21,Good
Husna zm,4,11/8/2022 1:04,The features on traveloka are very easy to use. Good job Traveloka!
Buang Wungkana Wungkana,5,11/8/2022 1:01,Traveloka sangat banyak membantu
Pramita Atiyatul Hidayah,5,11/8/2022 0:52,"Nice apps, nice price 🥰🥰"
Inawaty Christiana,5,11/7/2022 23:30,Pelayanan cepat & memuaskan👍
Ahmad Mahmudin,5,11/7/2022 23:13,sangat memudahkan untuk perjalanan
pri aditya,3,11/7/2022 22:51,Kecewa mau komplain gak bisa klaim voucher aja sampai berjam jam gak selesai selesai sampai dinsuruh nunggu lagi 1x24 jam lagi
nadyarizky azizah,5,11/7/2022 22:25,aplikasi sangat membantu
Dr. Harsono Njoto,5,11/7/2022 20:35,Nice
Cappu Cino,1,11/7/2022 18:58,Udah sepi karena banyak trik2 yang merugikan konsumen
Global Solution Nusantara,5,11/7/2022 15:30,cepat dan tepat
kasnadi nadi,4,11/7/2022 14:57,sangat memuaskan
Didi Purnama,4,11/7/2022 13:33,bagusss
Misto vidianto,5,11/7/2022 13:24,yang terbaik
Andrys Parapat,5,11/7/2022 12:32,Ok
Santa Samosir,5,11/7/2022 12:23,cepat dan tepat
Deni Darsono,5,11/7/2022 12:17,sangat membantu sekali...
muzakir gayo,4,11/7/2022 12:07,good 👍
Idrianis Muncak,5,11/7/2022 11:55,oke
Rafka Arsha,5,11/7/2022 11:54,beli tiket di traveloka saja 😁
baby doll,5,11/7/2022 11:37,mantap cuma tadi sedikit bingung di pembayaran BCA oneklik soalnya baru pertama
Bobby A,1,11/7/2022 10:53,"Saya sudah lama sebagai konsumen Traveloka. Akan tetapi beberapa waktu lalu saya melakukan pemesanan tiket bus namun e tiket belum terbit, padahal pembayaran sudah sesuai baik jumlah transfer pembayaran dan tidak melewati estimasi batas waktu pembayaran. Keluhan ini saya ajukan ke customer service namun tidak ada solusi kejelasannya terkait dengan e tiket saya yg belum terbit. Bahkan tidak ada respon kejelasan dari customer service terkait kendala yg ada."
NASRIL CHAIDIR,4,11/7/2022 9:53,easy process
Jo Silaen,4,11/7/2022 9:43,bagus
Imam _10 DAP,4,11/7/2022 9:37,Nice service
elmina putri,5,11/7/2022 9:10,Tetap bgus aplikasi traveloka
bryan 1,1,11/7/2022 8:50,Aplikasi jelek sumpah susah
fikriansyah 3739,5,11/7/2022 8:01,good
Irsan Gombong,5,11/7/2022 7:52,Saya selalu update Tiket di Aplikasi Traveloka
Ibrahim Xabierelzaber,3,11/7/2022 7:25,"Setelah di update, ko menu eats nya ga ada?"
bambang suprapto,5,11/7/2022 6:57,Sangat memudahkan transaksi
Hendra Wardhana,4,11/7/2022 6:46,Bagus
Mathias Letsoin,5,11/7/2022 6:37,"Cepat dan mudah, tidak ribet untuk mendapatkan tiket."
Gama Empaturi,5,11/7/2022 6:11,Mntap
rachmat hidayat,5,11/7/2022 6:09,Sangat penting
Cliff Orisu,1,11/7/2022 6:03,"Sering pake tapi udah kecewa sm app ini. Fitur reschedule tidak berguna. Terpaksa harus reschedule direct via maskapai. Kemudian batal berangkat karena alasan sakit tapi proses refund berbelit karena data reschedule via maskapai tidak ter-record dlm app, ditambah aturan maskapai yg berbelit utk refund dana booking awal. Keren ya traveloka👏🏽👏🏽👏🏽 Note: gak usah respon ulasan saya."
Hendrik Arnathan,1,11/7/2022 5:52,Mau ambil foto selalu di ulang
Hermin Ningsih,5,11/7/2022 5:30,terima kasih
Zubaedi Achmad,4,11/7/2022 5:24,Racism
Nanang Dwi,1,11/7/2022 5:21,"Saya kecewa, saya sudah 10 tahun pake aplikasi ini, dan sekarang setiap saya mencari jadwal penerbangan diaplikasi saya , semua penerbangan selalu transit, tidak ada penerbangan langsung, tapi ketika saya meminta bantuan dg menggunakan aplikasi orang lain, di aplikasi mereka selalu didahulukan penerbangan langsung lebih dulu, maka dari itu saya sangat kecewa, saya pastikan tidak akan menggunakan aplikasi ini jika tidak ada jadwal penerbangan yg langsung tanpa transit terlebih dahulu."
Adriana Sitompul,5,11/7/2022 5:14,Keren bangettt.. sangat terbantu dengan ada nya paylatter nya
Heng Hong,2,11/7/2022 3:33,apk sampah
firman13 sandi,4,11/7/2022 3:28,"Saya pesen hotel dan status nya udah berhasil tiba"" status ganti otomatis jd menunggu. Human error aplikasi tapi gak ada solusi, udah lapor call center nunggu 30 menit sampe 3 kali (90 menit) tp gak ada aksi. Setiap laporan call center jawaban bertele"" dan berbeda"". Hati"" kawan"" dgn aplikasi nya mending pake aplikasi sebelah. Gak usah di download!!"
Bumiku Berkahku,5,11/7/2022 3:24,lebih mudah mencari pesawat dan hotrl
aila ncep,5,11/7/2022 3:18,terimakasih
Bayu Kuncoro,5,11/7/2022 2:32,nicee
Restu Mandiri,5,11/7/2022 2:31,mantap
suyunus hadijaya,4,11/7/2022 1:54,mudah
jey Muntaha,1,11/7/2022 1:23,Sering error
iwel ok keren,5,11/7/2022 1:15,mantabb
N N,5,11/7/2022 1:14,lebih mudah berkendara terimakasih traveloka
Sung Alfa,5,11/7/2022 1:03,mau potong poin dan discount nga bisa
Heykal Gorby,1,11/6/2022 23:43,Saya kasih bintang 1.. karna Limit paylater dapet 1 jt tp gabisa digunakan .. alasannya demi keamanan..
zendra saputra,5,11/6/2022 23:21,ok
Hamami Nata,5,11/6/2022 23:08,Okay
Emilia Fitrianti,5,11/6/2022 22:47,cepat
Edwin Laca,3,11/6/2022 22:39,Baik sekali
Hamrawati Taggi,5,11/6/2022 21:14,terima kasih traveloka aplikasi yang sangat membantu saya
Dinda Gallung,5,11/6/2022 18:57,proses nya cepat dan semoga amanah dan gak mengecewakan coustamer
reza agun maulana,5,11/6/2022 17:58,Oke
Charto Suryanto,5,11/6/2022 17:40,Ok
Genryu Appare,3,11/6/2022 17:25,"Saya pelanggan setia dari awal traveloka mengudara. Cuman saran saja, lebih baik tiket bus di tiadakan saja, karna beberapa kali saya pesen tiket bus disini delay rata- rata 3-6 jam. Apa lg jika kita naik tidak di titik awal keberangkatan bus, misal Rute Bus Bandung-Palembang, nah kita naik di Bandar Lampung, udh kemungkinan delay. Ngbrol sama orang PO, alasan dia ""Sebenarnya itu waktu estimasi, kondisi dijalan bisa memperlambat."" So, kl gak bisa di perbaiki, mending di hilangkan fitur tiket bus"
Noval Ardiansyah,5,11/6/2022 16:45,Click to download di sini untuk download di bawah umur satu tahun ini
rizki akbar,5,11/6/2022 15:48,nice
hanum elvarrete,3,11/6/2022 15:44,UCC rvg j yg v ex
Hendrik Aryanto,2,11/6/2022 15:19,Baik
Maulina Delvia,4,11/6/2022 15:03,SEMAKIN DI UPDATE SEMAKIN ANEH. PAYLETERNYA BIASA BUAT BELI ROTI CAKE MASIH BISA DAN MAKANAN LAINNYA MASIH BANYAK GK BISA PAKAI TRUS NGAPAIN DI TAMBAHIN LIMITNYA KLW GK BISA PAKAI. SAYA JUGA GK PERNAH TELAT BAYAR BAHKAN SEBELUM JATUH TEMPO
Deva Syamsi,5,11/6/2022 15:00,terbaik
Cornel Riyant,1,11/6/2022 14:31,"Saat tagihan dialihkan ke danamas, total tagihan malah nambah dan nambahnya ngga kira2. Masa tagihan awal 600ribuan karena alasan denda berjalan jadi 1.9jutaan, denda kan harusnya maksimal 100% ini mah sudah melebihi."
Sunarko Nggambleh,3,11/6/2022 14:18,membantu sekali
Siti farhatun nufus,5,11/6/2022 14:04,Sangat bagus
bagaswara basudewo,5,11/6/2022 13:58,ok mntap
irfan_ prajendol,1,11/6/2022 13:52,"Pesan travel, jadwal berangkat 17.30,, sekarang jam 20.52 belum dijemput,, kayak taiii emang !"
Cads Coating_shop,5,11/6/2022 13:20,"Bayar paylatter lancar trus,ga pernah telat...tp mlh menurun limitnya..bukannya naik mlh menurun..aneh nih traveloka sekarang..gue ksh bintang 5,biar bs dibaca.."
Drs. Syahranie,5,11/6/2022 13:20,Sangat baik.
Soeleyman Syah,5,11/6/2022 13:06,mantab
rumintar sijabat,4,11/6/2022 12:37,Mantap
Marzaki Marzaki,5,11/6/2022 12:28,Coba dulu
Moch Bustomi,4,11/6/2022 12:21,bagus
Alexandra Tilman,5,11/6/2022 12:00,Nice dan ini sangat membantu ku👍❤️
Willy Tan,1,11/6/2022 11:17,"udah sering pake, langganan sejak lama, sampe level platinum, paling tingginya, tp pengajuan paylater selalu ditolak. Saya tadinya kasih bintang 5, sambil komen gini, tp ga ada tanggapan, saya ksh bintang 4 masih ga ada tanggapan, oklah kl begitu, saya ksh bintang 1 Kl ga ada tanggapan jg, santai, bnyk aplikasi lain juga kok 😄"
Hobi Keren,1,11/6/2022 9:48,Apk Janc*k
Roby Yanwar,5,11/6/2022 9:41,Memuaskan
Ewin Al Kaunu,1,11/6/2022 9:36,Aplikasi nya baik..tp jd seperti abal2 .. uyk paylaternya sudah di penuhi semua persyaratan data..mlh di tolak..mohon jgn gunakan data sy utk kepentingan lain.. Sy uninstal. Tq
Soo Le Hin Channel,5,11/6/2022 9:33,aplikasi terbaik
AEN 2021,5,11/6/2022 9:23,good services
Awan Lovely,5,11/6/2022 9:12,Hmmm its not good
muhtar gozali,5,11/6/2022 8:40,good
Bedi Joe,5,11/6/2022 8:23,ok
odilia lendra harven,5,11/6/2022 8:17,👍🏾
Berry Rulytha,5,11/6/2022 8:16,bisalah
Taufik Keneg,2,11/6/2022 8:13,R3
cahyo gunadi,5,11/6/2022 7:48,Mudah dan cepat
ade kurniawan,5,11/6/2022 7:35,terbaik
Ardiyan Febry,5,11/6/2022 7:11,"Udah ga bisa berpaling dari Traveloka, akses mudah ga bikin ribet"
cfarida 121,5,11/6/2022 7:10,Cukup memuaskan
surya ato,3,11/6/2022 7:06,"Virtual number tidak bisa diaktifkan, error"
mulyono lyon,5,11/6/2022 6:44,Luar biasa
CIWAY GALERRY,3,11/6/2022 6:28,"pembayaran tidak ada ovo, gopay dll"
Manap Manap,4,11/6/2022 5:59,bagus
asep amar 36,5,11/6/2022 5:58,sangat memuaskan
Hengky Wahyu Kuncoro,5,11/6/2022 5:33,Nggak pernah bingung kalo mau pesan tiket pesawat. Karena dengan Traveloka memudahkan ku buat beli tiket pesawat saat mau bepergian
Fendy Turus,5,11/6/2022 5:14,great jobs
lesa Sulistiani,5,11/6/2022 5:05,top
anlestia rosandini,3,11/6/2022 4:55,Mumtaz
Erninda Ristiani,5,11/6/2022 4:52,Aplikasi wajib buat kalian yang mau Staycation ya Traveloka ini
FKPPi anti komonis shaolin di dan itu di Parepare,1,11/6/2022 4:37,az AZ YANG YANG ITU Az PIKIRIN itu ini AZ PIKIRIN ITU PIKIRIN yang 🎷🎸🎹🎹🎹🎸🎹🎹🎹 yang
Dafit Grunge,1,11/6/2022 4:16,"refund terllu lama,UDH SYA TUNGGUIN 90 HARI! SETELAH ,90 HARI EH TERNYATA DI TUNDA? MAKSUDANYA GMNA? ITU UANG LOH? TOLONG DONG KEJELASANYA? 90 HARI Y HRS 90 JANGAN MALAH DI TUNDA GINI GA JELAS"
Handriani Puspitasari,5,11/6/2022 4:08,"Traveloka ini fiturnya banyak banget selain keperluan traveling,butuh apa-apa kayak tinggal buka traveloka aja☺️"
Rizki Ucik,5,11/6/2022 4:07,Pelayanan terbaik untuk setiap hotel yang ada ditraveloka mantep..
Erika Oktaviana,5,11/6/2022 3:58,"Udah pakai traveloka selama 4 bulanan,sering banget adain promo untuk Hotel,Tiket pesawat,Tiket Kereta dll..sering-sering ya kasih promonya traveloka"
mohammad bagus sasmita,5,11/6/2022 2:37,Aplikasi bagusz Zz X
M zaid Dsas,4,11/6/2022 2:35,Sangat memuaskan
Ismail Mail,5,11/6/2022 1:42,mantap
Gevral Kammang,4,11/6/2022 1:25,👍
Faradillah Areni SMPIT SC,5,11/6/2022 0:21,sangat mudah
Syahrina Zoya,4,11/5/2022 23:02,"sangat membantu pesanan tiket yang dadakan atau direncanakan,cuman Reifan nya aja yg dijanjikan uang kembali dan TDK dikembalikan"
Imri JF,5,11/5/2022 23:01,Cepat dan mudah pelayanannya
Toko Baju Fanny,5,11/5/2022 22:52,keren good luck traveloka
Rosmiza Hamidah,5,11/5/2022 22:46,Baik
Antony Tri Susanto Itran,1,11/5/2022 21:41,Iklanmu 👎👎👎
Muhammad Farid,5,11/5/2022 17:52,siiiiiiiip
Senewan Direktorat Keselamatan Perkeretaapian,5,11/5/2022 16:36,"Coba cek daftar Bank Untuk Refound... semua bank aneh2 ndak ada BNi, Mandiri, Bri atau bank bank yang lazim digunakan..kacau"
Muhammad Furqon,5,11/5/2022 16:32,mantap
Wahono Wahono,5,11/5/2022 15:50,ok
Abdul Hakim,5,11/5/2022 15:27,Ok
Moch Tohir,1,11/5/2022 15:12,Kenapa ko gk bisa pesan tiket kapal laut
Aisyah Mecca,5,11/5/2022 15:08,Memudahkan perjalanan sya
rossalina Marjusin,5,11/5/2022 15:07,good job thanks
Chistian Kailola,5,11/5/2022 14:52,Mantap
Tedjo Beken,5,11/5/2022 14:48,mantap ga salah pilih ini dari Tedjo beken
Isabella Hermawan,5,11/5/2022 14:31,Koq ga ada pilihan eatnya lg skrg?
Arifin Al Alamudi,5,11/5/2022 14:19,ok
Melkianus,5,11/5/2022 13:06,Nyaman dan terpercaya 🙏🏼😊
I Hen,5,11/5/2022 12:41,Pakai paylater sangat membantu👏👏
Retno Mulyati,5,11/5/2022 12:39,👍
Hendra Santoso,5,11/5/2022 12:13,mantul
Shinta Sriwahyuni,4,11/5/2022 12:05,mantap
Idrus idrus,5,11/5/2022 12:02,ok gampang cepat
Ratih Ratiah,2,11/5/2022 11:57,Ynb
tribudi arsa,5,11/5/2022 11:19,excellent
Cahya Sumirat,5,11/5/2022 11:00,mantap
Awe Munawar,5,11/5/2022 10:45,mantaap
Dragon1 LanudRSA,1,11/5/2022 10:37,"Mengecewakan. Point paylater turun terus tiap hari. Padahal gak pernah telat bayar, pesan kamar hotel jauh jauh hari, cicilan juga dibuat tenor panjang tapi point turun tiap hari. Tanya CS jawaban gak memuaskan. Tim analis paylater gak becus. Mengecewakan."
nur ismalinda,1,11/5/2022 10:05,Kecewa banget. Udah booking bahkan saldo udah di tarik tapi tiket g' diterbitkan. Di tlp traveloka centre awalnya di suruh tunggu dlm 20mnt. Ntah sampai ke 20mnt manalah prkiraan mereka sehingga dari pukul: 12.59wib ke pukul 16.00wib saya tunggu g' jg dapat kepastian dari mereka. Yg ada disuruh kirim nama. Tgl booking. Bukti transfer(print koran) yg ke sekian kali..!! Saya g' hanya rugi Rp. 1.060.100 di tgl: 22 juli 22 tp jg rugi tiket ferry (batam-malaysia)💔 uang g' jg dikembalikan
Tirta Alam,1,11/5/2022 9:56,"sewa mobil lewat aplikasi ini driver tidak datang menjemput dengan alasan kendaraan mengalami masalah, tidak ada penyelesaian sama sekali dari pihak aplikator dan dana yang sudah teralokasi tidak bisa refund! sekedar mengingatkan ke yang lain posisi kita sebagai user ternyata lemah ."
Yopidha Rumbewas,5,11/5/2022 9:26,mantaap 👍
Shopee Indonesia,1,11/5/2022 9:09,Uang pembayaran sisa DRIVER TRAVELOKA EATS tidak DI BAYAR KAN kepada DRIVER TRAVELOKA....KASIHAN DRIVER KERJA UANG TIDAK DI BAYARKAN KEPADA DRIVER....KORUPT woi
Bapak Suhendi,5,11/5/2022 8:44,cepat pelayanannya
Dhidho Nizar,5,11/5/2022 8:25,👍👍👍👍👍👍
Ferdian Nugroho,1,11/5/2022 8:10,tidak profesional dalam menangani permasalahan
Henry Endarti,5,11/5/2022 8:08,selalu di hati
Sutrisno Sutres,5,11/5/2022 6:10,Meringan kan saat2 dibutuhkan..thanks
yugos efrata,5,11/5/2022 5:51,byk diskon..tks Traveloka
sugeng harianto,5,11/5/2022 5:26,saya sangat senang pakai traveloka sangat membantu bagi saya yg bepergian jauh
Mang Ikman,1,11/5/2022 5:11,Aplikasinya Burik
Lastmine 125,4,11/5/2022 5:07,sangat puas
Sri Hartati,1,11/5/2022 3:39,pelayanan bagus
yorinda efendi,5,11/5/2022 3:35,"alhamdulillah lebih mudah menggunakan traveloka tanpa ribet ,dan kalau bisa bagi² poin lebih besar lagi dong 🤩🤩"
Dian Yajasi,5,11/5/2022 3:02,Banyakin potongan tiap transaksi dong..
Sevi Rachmat,5,11/5/2022 2:57,bagus
Ahmad Fadhillah,5,11/5/2022 2:45,ok
Yetty Yetty,5,11/5/2022 2:33,beli tiket lewat Traveloka mudah dan cepat
Muhamad Riki_95,4,11/5/2022 2:01,Sebenernya bagus si Traveloka saya pesen tiket pesawat ataupun hotel oke oke aja tapi yang saya heran kenapa sistem eats/makanan dihapus ya padahal itu ngebantu saya banget tolong buat pihak Traveloka kembalikan sistem eats nya terimakasih saya kasih bintang 4dulu ya
Abbi mr,5,11/5/2022 1:55,mudah dan simpel
Arvhian88 Arvhian88,5,11/5/2022 1:53,Buneaguj
Frans JOHAN,5,11/5/2022 1:51,baik
Sari Namaku,5,11/5/2022 1:37,semoga lebih baik lagii
siti zohra,5,11/5/2022 0:50,"Alhamdulillah, sangat membantu untuk pengecekan tiket pesawat, tarif hotel dll sehingga kita jika memperkirakan budget perjalanan. Trimakasih Traveloka... Semoga terus berkembang dan memberikan layanan terbaiknya"
Jesica Butar Butar,5,11/5/2022 0:44,semoga traveloka bisa membantu
Rudi Prasetyo,1,11/5/2022 0:33,"Sungguh sangat di sayangkan.. saya nyari hotel buru2 malah masuk ker travelio.. alhasil saya nunggu check in dari jam 15.00 sampai jam 19.00.. Anak dan istri saya terlantar,, karena nungguin check in yg ngga pasti kapan... Jadinya saya pesen OYO.. Mending Traveloka jangan join sama travelio.. Saya kapok sama travelio.. Saya sudah habis 500 ribu lebih tapi ngga bisa di refund, dan saya sudah punya bukti2 untuk di viralin, Ini ngga jauh beda sama bisnis haram.. nga jelas seperti penipuan..."
Firmanzah Hmazah,5,11/4/2022 22:35,good
Christ JeLo (CJ'25),1,11/4/2022 21:30,HARGA MAKIN NAIK TEROOOSSSSS!!!!
Yefri Harta,5,11/4/2022 19:24,transaksi cepat ditanggapi
Lia Basuki Tri Cabang 11 DJA 1,5,11/4/2022 17:17,cepat mantap kerenn👍👍👍👍👍👍👍👍👍👍👍👍👍
afif pspulsa,5,11/4/2022 16:46,barokallah
Perez Hutapea,1,11/4/2022 15:55,"Aplikasi ga benar, pertama harga hotel saya pesan 310k setelah selesai saya oesan saya liat kamar di hotel dan jenis yg sama jadi 250k , memang aplikasi ga berbobot"
Noldi Makahakum,5,11/4/2022 15:37,mantap
bambang apriyanto,5,11/4/2022 15:35,mantap
Ferdi Ferdian,5,11/4/2022 14:57,👍
Riski Habiburrahman,5,11/4/2022 14:26,saya kecewa penerbangan saya di batalkan sedangkan temen saya ndak. karena ndak mengisi asuransi pembatalan. bener bener kecewa. uang saya untuk merantau habis untuk ini. saya bener bener kecewa semoga tuhan yang balas.
Abang Wahid,5,11/4/2022 13:48,Oke
Santina News,5,11/4/2022 13:00,Mantap
Otri Rinaldy,5,11/4/2022 12:47,ok
willy wullur,5,11/4/2022 12:23,Mantap
Syaipul Rochmat,5,11/4/2022 12:19,lebih memudahkan
Akucoba,5,11/4/2022 11:16,belinya gampang
aulia channel,5,11/4/2022 11:15,ok
Muhammad Yusran,1,11/4/2022 11:07,Gak jelas bgt traveloka.. Point turun terus padahal gak pernah telat bayar / beli mendadak...
Irham Hidayat Padang,5,11/4/2022 11:07,Come on..  Move on bro !!
DIDIK BAGUS SAPUTRO,5,11/4/2022 11:01,Anti ribet ribet Club Kalo pake Traveloka
EDO SAKTI,5,11/4/2022 11:01,"simple, praktis dan Gak REPOT sama sekali, tinggal PILIH, KLIK, BAYAR, TERBANG"
Engki Yau Chentany,5,11/4/2022 9:51,sangat membantu
Syaiful Bahri,5,11/4/2022 9:19,mempermudah perjalanan kami
arifin hanaping,5,11/4/2022 8:31,"mantap,praktis,cepat pelay.prima"
Yendra DrD,5,11/4/2022 7:32,good
putrapaidi paidi,5,11/4/2022 7:24,Sangat mengesankan dan Good
Iwan Kurniawan,1,11/4/2022 6:52,"Aplikasi buruk, dia yg buat 2 penerbangan jadi 1 kode booking, begitu salah 1 refund cuma dapat 50 %. Ayoooo uninstall rame2"
SINGA GATI - FOUNDATION,1,11/4/2022 6:41,"Saya heran , traveloka lepas tangan menghapus begitu saja driver traveloka eats , bangkrut si bangkrut , tapi gak gitu juga mati'in driver , harusnya exs driver2 traveloka eats mutasi lah ke shopee atau grab , kasihan korban traveloka banyak ! Awas aplikasi penipuan kagak bertanggung jawab..."
Aminatus Zakhra,1,11/4/2022 6:18,tolong utk oyo aurilia kok ada tambahan tarif ya kitabsdh datang jauh jauh kyk gitu
Vina Amelia,5,11/4/2022 6:01,"Traveloka sangat membantu saya dalam kendala yg saya hadapi terkait masalah transaksi, terimakasih traveloka terutama para customer dan semua timnya. So proud of you all, thank you so much ❤❤❤"
Sendi Yudha,1,11/4/2022 5:41,Refund tiket lama ya..tolong dong jgn kayak ini.. Kita tetap disuruh byr..gak banget deh traveloka sekarang...hati2 buat teman2 traveloka paylater penipuan..bilang di proses tapi bohong besar......bohong terus bilang udah ketemu solusinya tapi masih zonk..hati2 deh. Klo mau diganti tiket ternyata tiketnya gak bisa dipake.hadeuuh zonkkk..penipuan
Mutiara Tani,5,11/4/2022 5:22,sangat memuaskan
Deasy Andhayani,5,11/4/2022 5:17,Ok
Agung Sudarmono,5,11/4/2022 5:11,"Sangat mudah, sangat membantu"
Uzli Fatul,5,11/4/2022 4:42,Memper mudah
Mainilawati Yusuf,5,11/4/2022 4:36,Pemesanan tiket cepat dan lancar
Oktavianto Kusuma,4,11/4/2022 4:32,god job
Awan Guna,5,11/4/2022 4:21,Selalu membantu perjalanan kami.catatan harus pakai bahasa Indonesia
Rudi Kurniawan,5,11/4/2022 4:05,"Aplikasinya bagus, mudah utk digunakan dan sangat membantu👍"
bella amalia,5,11/4/2022 4:00,bagus
Lugas Afandi,5,11/4/2022 3:48,mantapp
Joao Amaral,4,11/4/2022 3:47,proses cepat.. salah masukan nominal pembayaran.apakah nominal yg salah dan sdh trlanjur dibayar akan kembali..
Astati Telaumbanua,5,11/4/2022 3:37,sangat baik
Nosi Kristiana,5,11/4/2022 3:33,Aplikasi bagus
DR. Ridho Syahputra,5,11/4/2022 3:11,bagus
Kukuh Dwi Arinova,5,11/4/2022 2:48,good job.
Aya123 Aya123,1,11/4/2022 2:32,yi kovsyblbkďeu bakhcbv
Arie Curnord,1,11/4/2022 2:25,"Kok tiba"" ada tagihan playletter ya padahal tidak pakai sama sekali"
Taufik Beb,5,11/4/2022 2:05,Satelit yang⛔
Yha yha,1,11/4/2022 1:56,Aplikasi gak jelas udah cancel dadakan duitnya gak langsung dbalikin..merugikan segala2nya
Imron Masykuri,4,11/4/2022 1:51,I quit
Muhammad Maulidi,5,11/4/2022 1:49,pelayanannya bagus
Yuli Damayanti,5,11/4/2022 1:29,app andalanku
Bu Sus,5,11/4/2022 1:26,mantap
