"","klasifikasi","score","text"
"98","Negatif",-1,"benci"
"99","Netral",0,"semoga   o nya amin"
"100","Netral",0,"bagusss"
"101","Negatif",-1," kecewa liat traveloka    nyaman  aasi    rugi berkali li n hotel   sblm keberangkatan tmua hotel nan traveloka tdk  refund  reschedule  situasi emergency   diluar dugaan  lake hotel tetaga tdk  alasan n  traveloka   kemudahan  aasi traveloka    rugi   saran sih tolong  bedanya n  form dibanding n langsung  hotel"
"102","Negatif",-2,"ga  ribet"
"103","Netral",0,"tobat i ater  gak  admin  triadmin  ayaran ribuan billing  bayar tagihan "
"104","Netral",0," cocok  cari tiket  teman alanan   kota via darat"
"105","Netral",0,"ok sip"
"106","Negatif",-6,"aasi ng jengkel tiaansaksi gagal alesan  amanan emang  maling  jambret data  akun  yg    susah banget ya   ater  bangkrut ya  ngirit ga   bayar  tu cicilanyabiar ka huh"
"107","Netral",0,"tis mantabb"
"108","Positif",1,"ok banget"
"109","Netral",0,"rescedan akurat"
"110","Positif",1,"keren"
"111","Netral",0," mudah "
"112","Netral",0,"nn"
"113","Netral",0,"simple"
"114","Netral",0,""
"115","Netral",0,"ok"
"116","Positif",1,"terbaik  berian"
"117","Positif",1," kasih  biar torkotop"
"118","Netral",0,"ngga suka"
"119","Negatif",-1,"ribet bgt daftr eter nya   sim  or  gak  orng a"
"120","Positif",1," bagus"
"121","Positif",1,"sungguh mantap"
"122","Netral",0,"mantaaveloka"
"123","Netral",0,"good"
"124","Netral",0,"good"
"125","Netral",0,""
"126","Netral",0,"samgat membantu"
"127","Netral",0,"good"
"128","Positif",1,"travelnya keren camlg mesen tuk ngmoga  kek gini yanannya"
"129","Netral",0," membantu aktitas sata"
"130","Netral",0,""
"131","Positif",1,"bagus   resif"
"132","Positif",1,"mantab"
"133","Netral",0,"semoga  lancar"
"134","Negatif",-1,"jaga asi orang min"
"135","Positif",2,"aman  cepat"
"136","Netral",0,"good"
"137","Positif",1,"nyaman"
"138","Positif",1,"bagus"
"139","Netral",0,"mantap"
"140","Netral",0," memuaskan"
"141","Netral",0,"ok"
"142","Netral",0,"bgus"
"143","Negatif",-1,"gak  daftar i forwad email  gak  daftar i email sejenis    yg salah dg kebijakan acy sahaannya thanks"
"144","Negatif",-1," membatu alanan traveling  kerja"
"145","Netral",0,""
"146","Netral",0," mudah"
"147","Netral",0,"oookkk"
"148","Netral",0,"ok"
"149","Netral",0,"ok"
"150","Netral",0,""
"151","Positif",1,"knya traveloka terbaik  terceserta teraya "
"152","Negatif",-2,"traveloka gk    ngirim bukti ayaran tatatus sesi     reshal   kali  mengirim bukti ayaran    konfirmasi suruh nunggu sejam    gk     ganti rugi  transaksi sya "
"153","Netral",0,"mantap"
"154","Netral",0,"oke bgt"
"155","Netral",0,"aasi gak  gak  o an   murah  aasi    onya  bandingkan traveloka auto uninstall"
"156","Netral",0,"ok"
"157","Negatif",-1," aa ga   instalhal udah  instal tauruh instal "
"158","Netral",0," mudah teraya"
"159","Netral",0,""
"160","Netral",0,"membantu bgt"
"161","Netral",0,"ok"
"162","Netral",0,"mantap"
"163","Negatif",-2,"kebencian ceo traveloka slam   membesarkannya  sekeluarga memboikot traveloka"
"164","Positif",1,"sgt membantu disaat jadwal t tiket tetada tdk kuatiri berangkat dgn cselamat"
"165","Netral",0,"klop"
"166","Netral",0,"cemantab"
"167","Positif",1," bermanfaat"
"168","Netral",0,"top"
"169","Positif",1,"es "
"170","Netral",0,"cedan mudah"
"171","Positif",1,"mudah akurat  cepat"
"172","Positif",1,"mantab cebanyak han"
"173","Netral",0,"good"
"174","Netral",0,"pergantian nama gilan bayar"
"175","Netral",0,"mantangetcememudah rjaan "
"176","Positif",1,"istimewa cebanget"
"177","Positif",2,"mohon ditingkatkan yanan  customer yg    cermat"
"178","Negatif",-2,"ok    ribet mudah   orang thenk traveloka"
"179","Netral",0,"mantarveloka"
"180","Netral",0,"good"
"181","Netral",0,"good"
"182","Netral",0,"mudah  gunaan aasinya metode ayaran  flexibel"
"183","Negatif",-1,"lengkap"
"184","Netral",0,"ok"
"185","Netral",0,"mantap"
"186","Positif",1," ceudahmurah  berkualitas"
"187","Negatif",-1,"pemiliknya rasis"
"188","Positif",1," membantu  es elian"
"189","Positif",1,"pokoknya maju   jaya traveloka is the best oke"
"190","Netral",0,"ok for now"
"191","Netral",0,"good servicenya"
"192","Positif",1,"traveloka gk  kerjasama  oyo dah nyusahin udh x n  traveloka  erti oyo udh  samokasi nan masuk tit kamar udh max occuy"
"193","Positif",1,"trimakasi  mudah layanannya traveloka  sukses"
"194","Netral",0," membantu"
"195","Netral",0,"good"
"196","Netral",0,"aasi ng enak  booking kereta agi  yg mobilitas  kota nya "
"197","Netral",0,"bayar  tewaktutiba limit turun drastisga  bgt ni traveloka lamauma bayar tewaktu"
"198","Netral",0,"oke ressangat cpt"
"199","Negatif",-1," tetangan bintang   lan  k ojk nya  lambat   lunas  tgl  oktober slik ojk udah   ue tgl ojk setial   tetaa data   ojk  fasilitas aktif   lunas ande sehat caturnusa  blm siacara sistem  main  ojk  dinonaktifkan traveloka  indonesia mewek lu"
"200","Netral",0,"shiii dahhhh"
"201","Netral",0," mudah  simple"
"202","Positif",3,"  udah  traveloka hiburan  menyenangkan terima kasih traveloka   amanah   oo menarik"
"203","Positif",1,"bagus  teraya   "
"204","Positif",1,"hebat"
"205","Negatif",-1," harganya   klik"
"206","Netral",0,"mantullllllll"
"207","Netral",0,"tis  ekonomis"
"208","Negatif",-2,"kayaknya aasi  gk berguna  checkin kebanyakan guest house oyo home stay   pesan petugas karyawankarwati  menerima harga promo gak logika pemerasan harga  ku dapet  diskon  ribu    alasan  menerima harga diskon   gk   gak logika   pelayanan  gk professional   kamar nya biuh kotor gak rapi wc bau mending  coba aja  aplikasinya hehe  pengalaman "
"209","Positif",1,"aasi travel  oke banget"
"210","Netral",0,"transaksi aj ayakan  traveloka traveloka  top"
"211","Netral",0,"mantancar"
"212","Positif",1,"belibet es cancelled nya"
"213","Netral",0,"intoleransi"
"214","Netral",0," mudah n  traveloka tks"
"215","Netral",0,"mantul  t "
"216","Netral",0,"good"
"217","Netral",0,"ok"
"218","Netral",0,"nice  membantu srmogaa kedeya  diskonan  o "
"219","Netral",0," membantu"
"220","Netral",0,"mantap"
"221","Negatif",-3,"aasi terbuk  terjelek  dunia later  blokir anen tamsebab   segi  menilai burukenak i tiketcom   aasi ni sumsangat jelek"
"222","Netral",0,"manta"
"223","Netral",0,"top"
"224","Netral",0,"mhn   lgi kerjasama osi dgn k hotel krn terkadang  sy memesan lgsg dgn k hotel  darga yg  murah tks"
"225","Netral",0,"user friendly"
"226","Positif",3,"memudahkan  bikin nyaman setiarjalanan"
"227","Positif",1,"traveloka  h  ayaran    semudah tokoa  lengser aja  gojek  biar  maju"
"228","Netral",0,"memudah arian rbangan  temmenginap"
"229","Netral",0," mudah  tis  travelokasemoga  kejutan   setia biar  semangat n tiketnya"
"230","Netral",0,"harga wat dibandingkan  aasi   murah good"
"231","Positif",2," membantu terima kasih traveloka"
"232","Netral",0,"memuaskan"
"233","Netral",0,"good"
"234","Netral",0,"mudah    membantu alanan"
"235","Netral",0," memuaskan"
"236","Netral",0,"ok"
"237","Netral",0,""
"238","Netral",0,"jos"
"239","Netral",0,"nice"
"240","Negatif",-2,"pengalaman yg  menyenangkan  alanan  wat dimohon traveloka utk   mengubah jam rbangan mohon disaman keklien maskalion air"
"241","Negatif",-1,"  bln  traveloka   ayaran      jatuh temenartual nomer  jdi   gk ah telat bayar lohgunanya d mna  aklo kya gini mah mending uninstaljngn donwnload  cumah"
"242","Netral",0," membantu sanan tiket wat  hotel"
"243","Negatif",-1,"jelek"
"244","Positif",1,"bosnya anti kebinekaan  anti pancasilatidak menghargai hasil demokrasi"
"245","Positif",1," bagus"
"246","Negatif",-2,"kenakrg udh gk  lg ya traveloka eats nya skrg cm  info ser   yg  cari  google jg  "
"247","Netral",0," memuaskan"
"248","Netral",0,"bismillah  jaya"
"249","Netral",0,""
"250","Netral",0,"mantap"
"251","Netral",0,"bsgus"
"252","Negatif",-4," daftar latter setiau liat kode ot email  isi kode nya  aftaran latter   trs bolak  gituuu trs ga esional udh ca isi data foto ktp foto diriga bs isi kode ota"
"253","Netral",0,""
"254","Netral",0,"baguss"
"255","Netral",0," mudah beli tiket  simple"
"256","Netral",0," membantu"
"257","Netral",0,"ok"
"258","Positif",1,"bagus"
"259","Netral",0,"good"
"260","Netral",0,"great "
"261","Positif",1," kasih bintang  aja duluternya ditolak  data  benartolong ya dijaga data sayasaya  bertanggung  kalo     diinginkankarena    limit ternya"
"262","Netral",0,"semoga lancar"
"263","Netral",0," kena ti"
"264","Netral",0,"nice"
"265","Netral",0,"memuaskan "
"266","Netral",0,"mudah"
"267","Positif",1," jujur  ah mengunakan"
"268","Netral",0,""
"269","Netral",0," membantu"
"270","Netral",0,"mantap"
"271","Netral",0,"mantap"
"272","Netral",0,"cetis"
"273","Netral",0," usul  ga  kode  m sebelahny terisi laki  mbiar  nyaman"
"274","Netral",0,"ausukuri data"
"275","Positif",1," cocok  "
"276","Positif",1,"alhamdulillah dimudahkan"
"277","Netral",0,"ku  bintang  aja dlu ah takut ga bsa on"
"278","Negatif",-1,"paylater g bsa d   beberaulan kmren  bsa alasan kebijakan kebijakan  "
"279","Netral",0,"mahal"
"280","Positif",1," bintang "
"281","Positif",1,"     kemudahan"
"282","Negatif",-1," lem elian tiket  a tiket tujuan balikn  surabaya u  november  l    bayar  etiket terbit jadwal rbangan jd l     sesuaikan  jadwal rjaan    terganggu   tdk  yanan traveloka   berlanggan     rutin  beli ticket minimal setahun xl pp   kirim lan ketidakan nggan tetaesjuga   solutif"
"283","Netral",0,"sngat membantu holiday  taelum ah dakuwkwk  memakai traveloka"
"284","Netral",0,"ok"
"285","Netral",0,"ol"
"286","Netral",0," membantu"
"287","Positif",1,"layanan bagus"
"288","Netral",0,"jikm"
"289","Negatif",-1," tiket kereta kebumen kelas economi  ribu"
"290","Netral",0,"kebanyakan uenya"
"291","Netral",0," sim traveloka aja yukk"
"292","Positif",2," kecewarefund status es sdh   uang blm  "
"293","Positif",1," bagus"
"294","Netral",0,"  buruk   embalian uangrefund    no rekening     sesuai   diinginkanlagi ngan    harga tiket  dauang    proses nya      samsekarang refund nya    kirim"
"295","Netral",0,"sanan tiket  hotel   mudah  tis"
"296","Netral",0,"  i trveloka"
"297","Netral",0,"scmm    kee"
"298","Netral",0,"p a y a h"
"299","Netral",0,"nice"
"300","Negatif",-1," download aasi   ah mengecewakan    beli tiket  traveloka  am ataubalik ketemkerja lg   ah berkendala rekomended  kuli  "
"301","Netral",0,"gl"
"302","Netral",0,"kenaraveloka   mengeluwarkan harga tiket  mahal bener"
"303","Netral",0,"ok"
"304","Netral",0,"tq traveloka aasi   membantu "
"305","Positif",1,"terbaik"
"306","Netral",0,"  kugak  dii"
"307","Netral",0," membantu "
"308","Netral",0,"good"
"309","Positif",1,"aasi bagus  arian kebutuhan  saran sih kalo  listing   insi  su   edaan  foto     berkembang  tetamangat"
"310","Netral",0,"okokok"
"311","Netral",0,"jooos"
"312","Netral",0,"mantappp"
"313","Netral",0," membantu"
"314","Netral",0,"ok"
"315","Netral",0,"excellent"
"316","Negatif",-1,"cegak ribet"
"317","Netral",0,"baikkk"
"318","Netral",0,"excellent"
"319","Netral",0,"ok"
"320","Netral",0,"voucher cc nya  habis"
"321","Netral",0," membantu"
"322","Netral",0,"good"
"323","Netral",0,"hadirnya traveloka  membantu"
"324","Negatif",-1,"aelek masak n tiket kereta aahal "
"325","Negatif",-2,"edur sanannya mudah  tis sayangnya reschedulenya mbulet  susah"
"326","Positif",1,"oppo hebat"
"327","Positif",2," membantu alanan  terima kasih traveloka"
"328","Netral",0,"mantanget"
"329","Positif",1," bermanfaat"
"330","Netral",0,"oke a"
"331","Netral",0,"oklah"
"332","Netral",0,"mantatul"
"333","Netral",0," nyoba taemoga  lancar"
"334","Negatif",-2,"pilem dewasa lasung telanjang main"
"335","Positif",1,"keren trkadang harganya mahal"
"336","Netral",0,"tiket normal  masukkan kode o dangan   sk elian minimal harga  ngelawak aagaimana"
"337","Positif",1,"maju  anak kam"
"338","Netral",0," mudah  kemana "
"339","Positif",1,"yanan   bagus"
"340","Positif",1,"  bagus yanan nya pengembalian limit sdh   hr       lsng tertulis terselesaikan aneh "
"341","Netral",0,"mantul"
"342","Netral",0,"easy to used"
"343","Positif",1,"bagus"
"344","Netral",0,"ayaran yg mudah"
"345","Netral",0,"ok"
"346","Netral",0,"good"
"347","Netral",0," membantu"
"348","Positif",3," membantu si aasi initada   sayang kano yg tersedia slalu gak   i dgn catatan habis anyaan    o tadk   i  cantumkan   habis   batasisaya coba  o kereta ai aasi  gak  yg  satuamsaya coba  esokan harinya dgn jam yg   tentukan tatjao yg  hara tdk bisasangatttt  sayang "
"349","Netral",0,"ok"
"350","Negatif",-1," beli tiket bandung samturen sei yg   data traveloka  bis la kencana    terminal arjosari lumayan   km sobis gak  mengantarkan samturen   sek traveloka silahkan komn  cs traveloka  sdh    kali komn jawabannya   mohon maaf   yg antri dilayani     kejelasannya mohon diaiki komunikasi  ue informasi dg us m  korban"
"351","Netral",0,"mantaedbd"
"352","Netral",0,"memuaskan"
"353","Netral",0,"keren mudah rgian tinggal klik"
"354","Netral",0,"traveloka mantap"
"355","Positif",1,"keren cees mudah"
"356","Netral",0," membantu"
"357","Negatif",-1,"kenaayanan food nya udah gak  ya"
"358","Netral",0,"mantap"
"359","Netral",0,"mudah   membantu"
"360","Netral",0,"penagihan nya  "
"361","Netral",0,"very good"
"362","Netral",0,"good"
"363","Netral",0,"tis mudah  diskon"
"364","Netral",0,"tishemat"
"365","Netral",0,"good"
"366","Netral",0,"good"
"367","Positif",1," bagusurusan  cepat"
"368","Netral",0,"mudah cedan akurat"
"369","Netral",0,"mantul"
"370","Netral",0,"mudah  simple"
"371","Netral",0,"  isnis      desa"
"372","Netral",0,"pertahankan kwalitas layanan"
"373","Netral",0,"limid  turan kn   ayaran tewaktu  embalian dna jaga  lma awalny   tk  gj kek gimi"
"374","Netral",0,"murah  ter aya"
"375","Positif",1,"memudahkan   terimakasih"
"376","Netral",0,"liedavid"
"377","Netral",0,"ok"
"378","Positif",1,"bagus "
"379","Netral",0," membantu "
"380","Netral",0,"memuaskan"
"381","Netral",0,"good traveloka tiket  hotel "
"382","Positif",2,"mohon lakukan aikan  yanan  teraya   traveloka terima kasih"
"383","Netral",0,"mantap"
"384","Negatif",-1,"problem  aasinya no hande  terblokir susah  arui"
"385","Netral",0," membantu"
"386","Netral",0,"cebnget"
"387","Netral",0,"mantap"
"388","Netral",0,"ok"
"389","Netral",0,"semoga damembantu"
"390","Netral",0,"mantap"
"391","Positif",1,"bagus  udah member gold  next nya o aja dibanyakin    udah  gunaan o nya"
"392","Negatif",-2," membantu masyarakat  memudah smg traveloka tetaya d udara amin ya rabbal alamin "
"393","Positif",2,"traveloka  terbaik skor     terhormat traveloka  ko limit nya mentok  jta     limit nya tolong   naikan limit nyasaya  bayar cicilan tewaktu   oke  ah telat sehari    limit terimakasih"
"394","Netral",0,"  sims"
"395","Negatif",-1,"  dibayar harga   gak main blass"
"396","Netral",0,"i trust to traveloka due to esional and easy to get ticket hotel etc"
"397","Positif",1," tis  aman"
"398","Netral",0,"refund   bln  "
"399","Negatif",-3,"kai traveloka refund nya susah tmbayaran tetenjut al tiket gk   k  yg   sambeli  traveloka susah refundnya namanya  mendadak gk  brangkat t tagihan tetenjut"
"400","Netral",0,"good"
"401","Netral",0,"oklf"
"402","Netral",0,""
"403","Netral",0,"not good"
"404","Positif",1,"mantab"
"405","Positif",1," sarankan    ketentuan sanan tiket  eli  sesuai  ketentuan   otomatiskan   memesan tiket    kejadian    membeli tiket kereta  jakarta  bandung l  siang    samdi stasiun    masuk  gas   vaksin booster   tiket  hangus      uangnya    sayangkan  jam  kerja   terganggu     bandung   tugas"
"406","Negatif",-1," ga  traveloka skrg"
"407","Netral",0,"good"
"408","Netral",0,"mantap"
"409","Netral",0," membantu bgt"
"410","Positif",2," inafiktif  korbannya   bayar inataetelah samdilokasi ga  inadan warga   membenarkan    karna    homestay    korban yg ama ucaorang warga untung tanggak traveloka sigatuk es komn    mengajukan refund dana  kedeya    audit  inaatau jasa yg tersedia     lg terimakasih"
"411","Netral",0,"tg"
"412","Positif",2,"bintang   krn  download  ah yanan    bagus mudah  ceklo iya   aasi  rekomen   tri lovers"
"413","Netral",0,"history akun  hilang   resdr cs  kecewa banget sih"
"414","Netral",0,"bykin onya"
"415","Netral",0,"siip"
"416","Netral",0,"nice aver"
"417","Netral",0,"ok"
"418","Netral",0,"ok a"
"419","Netral",0,"murah "
"420","Netral",0,"sikr"
"421","Netral",0,"wat ok"
"422","Positif",1,"bagus"
"423","Netral",0,"keren  jalan   negeri"
"424","Negatif",-1," n tiket lion air  jakarta  jaya   tiket diganti   tiket  makasar  jaya alasannya  maskahal  cek  website lion air kode sanan   berlaku  jakartajaya aarena ainan harga"
"425","Positif",1," membantu  mencari tiket  cepat"
"426","Netral",0," waranya gam "
"427","Netral",0,"gacccooorr"
"428","Negatif",-1,"invoice elian tiket terusan  dih langsung totalnya  ribet  klaim   asalahan"
"429","Netral",0,"semangat"
"430","Netral",0," membantu"
"431","Netral",0,"  dgn traveloka"
"432","Netral",0,"food nya  hilang"
"433","Negatif",-1,"membantu bgt kemana  mudah  aasinya gak ribet "
"434","Negatif",-1,"tolong lahklu merubah jadwal rbangan jgn  enaknya udah susah kerja ngumn uang beli tiket ianak ng transit   jakartatau nya udah  tinggal wat  yg  kalinya kerugian udah  jutaan   "
"435","Netral",0,"   traveloka"
"436","Negatif",-1," mudah  cari kebutuhan tiket  hotel"
"437","Negatif",-1,"min  dalimit      u  ganti "
"438","Positif",1," bagus  "
"439","Netral",0,"b aj"
"440","Positif",1,"  lngsung refund dana"
"441","Netral",0,"semoga aasinya bags gk ad maslah "
"442","Netral",0,"o nya "
"443","Netral",0,"ffb dce"
"444","Netral",0," traveloka  kuaya "
"445","Netral",0,"membantu bgt  caricari hotel  han ayarannya"
"446","Positif",1,"sayang g  bonusnya"
"447","Negatif",-1,"customer service gunaan robot chatbotnya   membantu asalahan haraaiki ya"
"448","Netral",0,"mantap"
"449","Netral",0," membantu "
"450","Netral",0,"memuaskan"
"451","Netral",0," nggi   tdk bermoral  bermental satriamemalukan"
"452","Positif",1,"bagus"
"453","Positif",1,"terbaik"
"454","Netral",0,"ok"
"455","Netral",0,"limit     bayar gaah telat aneh"
"456","Netral",0,"good"
"457","Netral",0,"bagus   membantutidak ribet   beli tikey"
"458","Netral",0,"knya mantah  langganan  "
"459","Negatif",-2,"gimana sih   masukin alamat  gak   klik selesai"
"460","Netral",0,"terimakasih"
"461","Netral",0,"yes sir"
"462","Netral",0,"rescepat"
"463","Netral",0,"as"
"464","Netral",0,"good"
"465","Negatif",-1," ue  versi  gimña min  google  ga  aharuan"
"466","Netral",0,"ww fc wa wwww www w wes  ran ama  turun  dr w wae w a awa"
"467","Positif",3,"susahnya mencari bantuan krn sy tdk damenemukan no tel dihubungi utk   sy yg tdk terdlm daftar anyaan"
"468","Netral",0,"good"
"469","Positif",1,"es cetaatu  mohon refund beruang tunai   beruoucher"
"470","Netral",0,"terbaikk"
"471","Negatif",-4," langganan traveloka   dimana  n  tiket   bln taaru kali  bener bener kecewa  n transfer  tiket keluhan  dah nunggu   taelum  bahanan  aasi dimana tiket   muncul   pesanan  email pdf tiket keberangkatan   benerbener kecewa disuruh nunggu    chat    bilang butuh     loh ya keburu berangkatlah gimana sih   customer servicenya"
"472","Netral",0,"good"
"473","Netral",0," "
"474","Netral",0,"traveloka  membantu "
"475","Netral",0,"good acation"
"476","Netral",0," o oaku akanselalu  q"
"477","Netral",0,"kebanyakan ue"
"478","Negatif",-2,"buruk    mudah  susah   aasi "
"479","Netral",0,"cukumbantu aktifitas alanab  tks"
"480","Netral",0,"uh"
"481","Netral",0,"good"
"482","Netral",0,"hai vom"
"483","Negatif",-1," ratih traveloka mendekati  berati traveloka pakai jasa rating    orang gl  kasih rating   bobrok sumini apk"
"484","Netral",0,"burung goblokk   bayar voucher  terbit disuruh tunggu  kali  jam ga  tanggung "
"485","Netral",0," membantu  sanan hotel  liburan keluarga"
"486","Netral",0,"mantap"
"487","Netral",0,""
"488","Netral",0,"mantakali"
"489","Positif",1," bagus aasinya"
"490","Netral",0,"mantul"
"491","Netral",0,"langganan tiket"
"492","Netral",0,""
"493","Positif",1,"bagus"
"494","Netral",0,"ok"
"495","Negatif",-2,"intinya  kesini  jelek  susah dimi  n tiket  ayaran cicilan   cc  d tagihan   cicilan  barus  bayar h tau gitu    d bayar langsung tunai"
"496","Netral",0,""
"497","Netral",0," "
"498","Netral",0,"uninstalllik  anti edaan shame on you"
"499","Netral",0,"nice"
"500","Netral",0," kecewa tolong uang  kembalikan"
"501","Positif",2," gercetuk memberisolusi  kasih bintang fullmksh"
"502","Netral",0,"good"
"503","Positif",1,"bagus"
"504","Positif",1,"aasi nya bagus"
"505","Netral",0,"mudah  "
"506","Positif",2,"es cepat"
"507","Netral",0," membantu"
"508","Positif",2,"bagus es cetinggal besok  teknya gmna"
"509","Negatif",-3,"  esional   keluhan    dianggangadangada samilakukan ekuan saldo ater hatihati        memaksa  menggiring o   emailnya balasan  k traveloka  mengintimidasi"
"510","Netral",0,"jos"
"511","Negatif",-3,"ayaran cecmn   memasukan otikar  ribet harga   bersaing dg travel sebelah"
"512","Netral",0,"mantap"
"513","Netral",0," aasi kenaa habis ue  g  order  disuruh lwt ater gymana sih"
"514","Positif",1," keren  mantaaveloka"
"515","Positif",1,"mantab rescepat"
"516","Netral",0,"mntab"
"517","Positif",1,"keren  membantu suksesss  traveloka"
"518","Positif",2," membantu  u ditingkatkan  sesuai embangan kebutuhan nggannya"
"519","Positif",1,"es cenamun harga ceberubah"
"520","Positif",1," nyaman  traveloka"
"521","Netral",0," "
"522","Netral",0," membantu"
"523","Positif",2,"tonget kalo  kasih harga yg termurah   alanan dinas "
"524","Netral",0," membantu"
"525","Positif",2," membantu  memudahkan  urusan beian sukses   traveloka"
"526","Netral",0," membantu dg  ater  hrsnya  han cicilanthanks"
"527","Netral",0,"mudah   onya"
"528","Positif",1,"senang"
"529","Netral",0,"good apk  membantu"
"530","Netral",0,"ok"
"531","Netral",0,"oke"
"532","Netral",0,"nice"
